"","NODCCODE","Commonname",">30","25-26","26-27","27-28","28-29","29-30","Troph","Polar","Boreal","Temperate","Subtropical"
"204","8835380101","Tripletail",NA,NA,4,2,NA,37,4.04,0,-2,-7,-12
"205","8835390101","Spotfin Mojarra",117.5,27,NA,93,1,335.833333333333,3.24,0,-3,-6,-5
"206","8835390102","Silver Jenny",1705.16666666667,18492.25,142351.333333333,130192.416666667,5179.66666666667,15195.7333333333,2.90166666666667,0,-2,-5,-4
"207","8835390109","Slender Mojarra",NA,162,2,28,NA,NA,NA,0,-1,-1,-2
"208","8835390111","Tidewater Mojarra",661.166666666667,532.5,51776.75,87487.2,4125.66666666667,13084.6666666667,NA,0,-1,-1,-1
"209","8835390203","Striped Mojarra",NA,539.166666666667,7916.83333333333,9230.66666666667,132.5,1,2.425,0,-1,-1,-1
"210","8835390204","Irish Pompano",NA,1,1556.5,996.5,3,3,2.44,0,-1,-1,-2
"211","8835390301","Yellowfin Mojarra",NA,643,17.5,5,NA,NA,3.60333333333333,0,-1,-1,-2
"212","8835400101","Tomtate",13,NA,143.5,28,5,141,3.55333333333333,0,-1,-2,-2
"213","8835400102","White Grunt",1314.5,7,3075,2107,748.333333333333,2076.5,3.6275,0,-1,-1,-2
"214","8835400113","Bluestriped Grunt",NA,228,3,NA,NA,NA,3.48,0,-1,-1,-2
"215","8835400117","Sailors Choice",NA,193.5,NA,NA,NA,NA,3.44666666666667,0,-1,-1,-2
"216","8835400201","Pigfish",29434,5,85792.4166666667,107292.383333333,5140.83333333333,116726.25,3.1,0,-1,-2,-2
"217","8835400306","Porkfish",NA,NA,1,NA,NA,NA,3.635,0,-1,-1,-2
"218","8835430101","Scup",NA,NA,NA,NA,NA,9,3.886,0,-1,-4,-2
"219","8835430102","Longspine Porgy",NA,NA,NA,NA,NA,94,3.55285714285714,0,-1,-1,-2
"220","8835430201","Pinfish",144942.366666667,6196,1211733.51666667,1119997.1,58464.6666666667,502813.3,2.9284,0,-1,-2,-2
"221","8835430301","Sheepshead",136,29,13583.4666666667,16602.3333333333,418,4621.08333333333,NA,0,-1,-3,-1
"222","8835430302","Sea Bream",NA,50,23,NA,NA,NA,2.825,0,-1,-2,-2
"223","8835430401","Spottail Pinfish",6169.16666666667,NA,1195.5,8452.66666666667,2575,10249.6666666667,2.78,0,-1,-2,-2
"224","8835430501","Grass Porgy",2016,NA,313,1424.83333333333,1372.16666666667,2574.66666666667,NA,0,-1,-1,-2
"225","8835430502","Jolthead Porgy",NA,NA,1,NA,NA,NA,3.5,0,-1,-2,-2
"226","8835430505","Whitebone Porgy",NA,NA,NA,NA,NA,1,4.035,0,-1,-1,-2
"227","8835430506","Knobbed Porgy",NA,NA,2,NA,NA,NA,NA,0,-1,-1,-2
"228","8835430508","Littlehead Porgy",1,NA,9,4,1,NA,NA,0,-1,-1,-2
